Id_station;Id_omm;Nom_usuel;Latitude;Longitude;Altitude;Date_ouverture;Pack
98827001;;POYA;-21.345333;165.157000;7;1952-01-01;ETENDU
98827002;91585;NEPOUI;-21.318167;165.002167;82;1970-01-01;ETENDU
98829003;;BORINDI;-21.796333;166.491500;5;1991-08-01;ETENDU
98829102;;THIO;-21.613500;166.237833;3;2017-10-02;ETENDU
98830002;91586;TOUHO AEROD.;-20.789333;165.254500;2;1993-01-01;ETENDU
98830003;;TIWAKA;-20.899167;165.217833;14;1954-01-01;ETENDU
98831001;;VOH;-20.950167;164.687500;6;1967-04-01;ETENDU
98832002;91595;YATE MRIE;-22.156500;166.939000;25;1992-12-01;ETENDU
98832004;91588;MTGNE SOURCES;-22.143833;166.593167;773;1989-08-01;ETENDU
98832005;;OUINNE;-21.984000;166.680500;54;1974-01-01;ETENDU
98832006;;RIVIERE BLANCHE;-22.132667;166.726333;171;2000-11-01;ETENDU
98832101;;GORO_ANCIENNE_PEPINIERE;-22.269167;166.967500;298;1995-01-01;ETENDU
98833002;;MEA;-21.455500;165.767333;571;1988-01-01;ETENDU
